vaga_id,codigo_candidato,tech_overlap_count,cand_has_sap,is_sap_vaga,sap_pair,ingles_ok,espanhol_ok,vaga_ing_rank,cand_ing_rank,vaga_esp_rank,cand_esp_rank,vaga_sen_rank,cand_sen_rank,senioridade_gap,senioridade_ok,days_update,situacao_ord,len_cv_bin,ok_eng_sen,len_cv_pt_z
4530,25632,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,3,1,0.40997705
4530,25529,0,0,0,0,1,1,0,3,0,1,0,0,0,1,1,2,2,1,-0.13996921
4531,25364,0,1,0,0,1,1,0,5,0,3,0,3,3,1,26,5,3,1,1.8977534
4531,25360,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,-0.0013631319
4533,26338,1,1,0,0,1,0,0,0,6,0,0,0,0,1,19,5,3,1,1.4913177
4533,24645,1,0,0,0,1,0,0,0,6,0,0,0,0,1,0,2,0,1,-0.7850206
4534,26361,1,0,0,0,1,1,0,0,0,0,0,0,0,1,13,2,1,1,-0.4640942
4534,26205,1,0,0,0,1,1,0,0,0,0,0,0,0,1,7,2,2,1,0.07455035
4534,26003,1,0,0,0,1,1,0,0,0,0,0,0,0,1,8,4,3,1,1.7949717
4534,25509,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,0.093955204
4534,23913,1,0,0,0,1,1,0,6,0,0,0,0,0,1,0,2,1,1,-0.35598144
4534,21458,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,-0.4338141
4534,13951,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,3,1,1.1317949
4534,12819,1,1,0,0,1,1,0,0,0,0,0,0,0,1,3,4,2,1,0.32894582
4534,11132,0,0,0,0,1,1,0,0,0,0,0,3,3,1,0,2,0,1,-0.9063542
4534,8838,1,0,0,0,1,1,0,0,0,0,0,0,0,1,10,4,2,1,0.24343653
4535,26338,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,4,3,1,1.4913177
4535,25983,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,2,1,0.015482837
4535,25519,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,0.22765675
4535,25454,1,1,0,0,1,1,0,0,0,0,0,0,0,1,20,4,3,1,0.43961743
4535,25445,0,1,0,0,1,1,0,0,0,0,0,0,0,1,3,2,1,1,-0.5272133
4535,23387,1,0,0,0,1,1,0,0,0,0,0,0,0,1,4,2,1,1,-0.24680251
4535,22977,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7,5,0,1,-0.9057145
4536,25362,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,2,0,-0.10137275
4536,25335,0,0,0,0,1,1,1,3,1,1,0,0,0,1,0,2,2,1,0.09630084
4536,25304,0,1,0,0,1,1,1,6,1,3,0,0,0,1,1,2,3,1,0.8614064
4536,7714,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,-0.9063542
4537,25283,0,1,0,0,1,1,1,3,1,1,0,0,0,1,0,2,2,1,0.2157153
4537,22662,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,-0.9057145
4537,22626,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,0,0,-0.9057145
4537,22608,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,0,0,-0.9057145
4537,22607,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,0,0,-0.9057145
4537,14591,0,0,0,0,1,1,1,3,1,1,0,0,0,1,3,2,2,1,-0.21161789
4542,23624,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,2,0,-0.037827194
4543,26560,0,0,0,0,1,1,1,3,1,1,0,3,3,1,0,2,1,1,-0.62807584
4543,25322,1,0,0,0,0,0,1,0,1,0,0,3,3,1,0,2,1,0,-0.6240243
4544,24309,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,2,0,0.14577255
4544,22085,1,0,0,0,1,1,1,5,1,1,0,0,0,1,2,2,1,1,-0.31034806
4544,19972,1,1,0,0,0,0,1,0,1,0,0,0,0,1,56,5,3,0,3.0654564
4544,18121,1,1,0,0,1,1,1,3,1,3,0,0,0,1,0,2,3,1,2.443648
4545,25310,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,-0.5711407
4545,25268,3,0,0,0,1,1,0,3,0,1,0,3,3,1,0,2,2,1,0.2880037
4545,25267,3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,0.27819467
4545,25262,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,-0.5304119
4545,25260,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,0.103337765
4545,25255,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,-0.05360696
4545,25194,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,0.23384072
4545,25026,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,-0.60931075
4545,24970,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,-0.9046483
4545,24239,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,0.13766943
4545,23516,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,-0.3843424
4545,21643,3,0,0,0,1,1,0,3,0,0,0,3,3,1,0,4,3,1,0.3831088
4545,21396,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,3,1,0.6778067
4545,19483,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,-0.34617242
4545,15247,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,3,1,3.858283
4545,388,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,3,1,0.67354184
4546,25666,2,0,0,0,0,1,5,0,0,0,0,0,0,1,32,5,2,0,-0.15105769
4546,25636,1,1,0,0,0,1,5,0,0,0,0,0,0,1,40,5,3,0,0.40571225
4546,25264,2,0,0,0,0,1,5,0,0,0,0,0,0,1,24,5,1,0,-0.4933081
4546,24988,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,0,0,-0.8270289
4546,24979,1,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,0,0,-0.74130636
4546,24928,1,0,0,0,1,1,5,5,0,0,0,0,0,1,5,4,1,1,-0.33145884
4547,22845,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,0,0,-0.9057145
4550,26354,0,0,0,0,1,1,0,0,0,0,0,0,0,1,27,4,1,1,-0.39798975
4550,25334,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,-0.26172933
4550,25303,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,3,1,1.5476131
4550,3081,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,1,-0.9063542
4551,25363,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,4,2,1,0.34920362
4552,25631,1,0,0,0,0,1,5,3,0,1,0,0,0,1,0,2,1,0,-0.5641038
4553,25598,0,1,0,0,0,1,5,0,0,0,0,0,0,1,0,2,3,0,0.3777778
4553,25338,0,1,0,0,1,1,5,5,0,1,0,0,0,1,0,2,3,1,0.40464607
4553,25336,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,3,0,0.756279
4553,25325,0,1,0,0,0,1,5,3,0,1,0,0,0,1,9,4,2,0,0.35240224
4553,25158,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,4,2,0,0.2129432
4553,25157,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,2,0,0.32766637
4553,24788,0,1,0,0,0,1,5,0,0,0,0,0,0,1,0,2,2,0,-0.075997174
4553,24374,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,3,0,0.45369127
4553,3779,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,4,0,0,-0.9063542
4554,26182,0,0,0,0,1,1,5,6,0,0,0,0,0,1,3,4,1,1,-0.6029135
4554,25604,0,0,0,0,0,1,5,0,0,0,0,0,0,1,15,4,1,0,-0.28966376
4554,25603,0,0,0,0,0,1,5,0,0,0,0,0,0,1,40,4,2,0,-0.026312226
4554,25371,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,2,0,-0.12888072
4554,25369,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,2,0,-0.10307867
4554,25368,0,1,0,0,0,1,5,0,0,0,0,0,0,1,5,4,1,0,-0.30117875
4554,25346,0,0,0,0,0,1,5,0,0,0,0,0,0,1,62,5,2,0,-0.10819643
4554,24487,0,1,0,0,0,1,5,0,0,0,0,0,0,1,0,2,2,0,0.19353834
4554,24432,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,2,2,0,-0.07535745
4556,25268,1,0,0,0,1,1,0,3,0,1,0,3,3,1,3,2,2,1,0.2880037
4556,23516,2,0,0,0,1,1,0,0,0,0,0,0,0,1,3,2,1,1,-0.3843424
4556,21060,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,0.050454218
4556,9048,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,-0.9063542
4557,25322,1,0,0,0,0,0,1,0,1,0,0,3,3,1,0,2,1,0,-0.6240243
4557,20093,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,3,0,2.021006
4558,25675,1,0,0,0,0,1,6,0,0,0,0,0,0,1,2,4,1,0,-0.38775423
4558,21052,1,0,0,0,0,1,6,0,0,0,0,0,0,1,10,4,1,0,-0.4434099
4559,25361,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,-0.22505201
4559,22553,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,-0.9057145
